,x1,x2,y
0,-2.201441286,-0.468864188,-30.35561657
1,-0.291041463,0.777276964,25.56033383
2,-0.327754917,0.040071457,32.79752633
3,-0.075650471,1.821915098,72.73457703
4,-0.8624933,-0.467493174,-48.07235551
5,-0.382008956,0.676460732,25.77006008
6,-1.279161107,2.346647031,54.19684138
7,0.802456396,-0.268003371,1.106910476
8,0.197181055,0.098667454,-2.205196106
9,0.355481793,-1.768538451,-62.6460542
10,0.500992232,-1.375184479,-41.98470425
11,0.599039526,1.045023376,48.84919507
12,0.433107953,-0.937880231,-34.04160036
13,0.476031383,-0.565497806,-35.66987992
14,1.988731919,0.198989494,44.68533387
15,-0.416499082,0.960047741,7.733608382
16,0.016338084,0.067492257,-15.47262568
17,-0.680178204,-0.118164045,-11.31135505
18,-0.175316402,0.930408496,41.89840983
19,-1.466424328,-0.813364259,-55.82604262
20,-1.263068349,-0.932740911,-31.05007913
21,1.26498333,-1.348413088,-55.65668043
22,-1.051390399,-0.103212751,15.41568534
23,-0.323457472,1.315137666,36.62313823
24,0.0114989,-0.011145612,17.15009505
25,1.064585136,-0.361599281,-43.43332122
26,0.093953229,-0.130106954,-6.623840725
27,1.21114529,-1.045253366,-47.6857926
28,-2.739677167,0.943046087,42.15364547
29,0.239033601,-0.04932407,-11.70706559
30,2.04207215,-0.993361375,-57.11792201
31,0.59346592,0.041082226,-18.45490703
32,-0.315603123,-1.04059923,-47.62657952
33,-0.826438539,-0.744754822,-41.47256179
34,-0.186709112,0.990909174,40.24922783
35,-0.887780137,-0.762114512,-14.71036942
36,-0.239379178,-0.369181838,-41.99470097
37,-0.655545029,0.112557531,18.09732887
38,0.238200192,0.817861831,59.00968238
39,2.41245368,-0.502816701,-44.15687518
40,-1.084036621,-0.219541028,-17.70680295
41,1.367414982,-0.104979701,-12.01229894
42,-0.637840556,-0.428702066,-20.26965616
43,0.777604138,0.067516857,-12.13198531
44,0.410598502,-0.103218852,-39.31885875
45,0.201479947,0.228053325,22.72585508
46,0.001248456,-0.78910218,-82.20153544
47,-1.180632184,-0.510805138,0.870561167
48,-0.956258422,-0.531993809,-36.86376072
49,-0.393153195,1.774658561,56.65435463
50,-0.608101257,-0.048344624,-15.03459682
51,0.003222216,-1.591447875,-77.12155761
52,-0.073924666,2.696224053,104.5033219
53,-0.369801166,0.23958276,-0.491893833
54,0.407461836,0.672294757,32.10683052
55,-0.73793178,0.498726958,14.898194
56,0.339964984,0.931848374,31.25024784
57,-3.046143055,-0.392388998,-15.31911223
58,-1.641348609,1.390533967,43.34752462
59,2.380745351,-0.035768072,0.853886679
60,0.852551939,1.466578716,37.34101193
61,1.51826117,-0.24201983,0.220600229
62,0.949246474,0.330576756,12.23761161
63,-0.839124191,0.850530684,28.54225732
64,0.156703855,-0.364693544,-2.032517118
65,-1.378083467,0.308331246,35.09456236
66,1.833435362,0.141806639,11.18714657
67,-1.775888,0.402625531,0.658281562
68,0.694749144,0.691538751,16.36821472
69,0.33510562,-0.584093547,9.401405036
70,-1.19809288,0.809180297,41.87526145
71,0.105719995,0.447024157,36.05490275
72,-1.567767724,-1.632634526,-63.28506142
73,1.257219651,-0.855240457,-40.27807424
74,0.225840479,0.960557224,54.75192669
75,1.536377054,-0.692049848,-25.85277042
76,-0.59464977,0.602707656,39.5355465
77,1.117016288,-0.912822225,-36.19004677
78,0.656390751,-0.868862547,-39.48930504
79,0.246147789,0.528943618,-4.5167561
80,1.042977595,-0.522619416,-20.42561021
81,-0.256316894,0.599369373,0.647716453
82,1.412327706,0.936742464,5.4992209
83,0.684501107,1.732721187,73.51082757
84,-0.298323169,0.825372232,19.44280892
85,0.456363363,1.421975559,74.82340121
86,0.527597383,1.008597287,33.002733
87,0.531974639,-1.548254323,-56.38486784
88,0.93610755,-0.480249035,-36.93888925
89,-1.5415874,-0.856549308,-37.76634227
90,-1.726282602,-0.813146282,-9.108572211
91,-0.410049693,-0.944446256,-41.3498069
92,1.009711855,0.384323405,-13.55823338
93,0.088422087,0.523891024,17.59824064
94,1.30184623,0.689818165,17.94575112
95,-0.255470786,0.150818206,-22.40601612
96,1.414874136,-1.312849675,-10.40400694
97,-1.454365675,2.269754624,86.39393738
98,0.359249157,0.505386939,32.24084688
99,0.269904355,-0.569312053,-27.74073573
100,0.386902498,-0.895466561,-37.80539983
101,-0.437820045,-1.147468652,-36.97492221
102,-0.695835119,-1.83002855,-92.56433932
103,-0.390392694,-0.625027391,-19.56550705
104,1.46935877,1.532779214,84.15911176
105,2.198296339,0.010185519,10.40390642
106,-2.534554462,0.665967146,0.210355393
107,-0.730357096,0.968744393,24.50486463
108,1.576298973,0.099204863,3.928993348
109,0.715938893,0.542610783,11.28610911
110,0.796672108,0.690429024,45.85147098
111,-0.602331854,-1.014825908,-28.3765121
112,-0.766704855,0.001471,-0.416528363
113,-0.47728627,0.355703516,23.51666778
114,-0.453385804,1.068509399,-1.24809752
115,-1.373053536,-1.606439689,-46.60685175
116,0.949405524,-0.403188307,-13.55858811
117,1.114924559,-2.437564359,-73.218168
118,-0.888971358,-1.681218215,-59.34329635
119,1.794448805,-0.161373536,0.472989453
120,-0.446836254,-0.061743301,25.34930162
121,0.729346346,-1.692370437,-50.02625518
122,-0.024549424,-1.102230191,-49.80230035
123,-0.56431791,-0.679593043,-31.71905082
124,1.041568389,0.154668834,-26.32671277
125,0.962341745,0.457309647,6.576165307
126,-0.812992989,-0.719604389,-10.05023156
127,1.801213991,-0.815275661,-25.87943523
128,0.777490356,-1.25279536,-59.2032116
129,-0.144566817,0.3595044,24.95964169
130,1.588530691,0.390364944,13.61870142
131,0.376876521,-2.004215715,-97.82119452
132,-0.30224973,-0.224258934,-16.4074154
133,1.054324975,0.018627371,19.50248795
134,0.54100822,-1.317717343,-36.34127962
135,-0.302302751,-0.387326817,-16.38763316
